E05001553,"Bank Top",E06000005
E05001554,Central,E06000005
E05001555,"Cockerton East",E06000005
E05001556,"Cockerton West",E06000005
E05001557,College,E06000005
E05001558,Eastbourne,E06000005
E05001559,Faverdale,E06000005
E05001560,"Harrowgate Hill",E06000005
E05001561,"Haughton East",E06000005
E05001562,"Haughton North",E06000005
E05001563,"Haughton West",E06000005
E05001564,"Heighington and Coniscliffe",E06000005
E05001565,Hummersknott,E06000005
E05001566,Hurworth,E06000005
E05001567,Lascelles,E06000005
E05001568,Lingfield,E06000005
E05001569,"Middleton St George",E06000005
E05001570,Mowden,E06000005
E05001571,"North Road",E06000005
E05001572,Northgate,E06000005
E05001573,"Park East",E06000005
E05001574,"Park West",E06000005
E05001575,Pierremont,E06000005
E05001576,"Sadberge and Whessoe",E06000005
E05007955,"Annfield Plain",E06000047
E05007956,"Aycliffe East",E06000047
E05007957,"Aycliffe North",E06000047
E05007958,"Aycliffe West",E06000047
E05007959,"Barnard Castle East",E06000047
E05007960,"Barnard Castle West",E06000047
E05007961,Belmont,E06000047
E05007962,Benfieldside,E06000047
E05007963,"Bishop Auckland Town",E06000047
E05007964,Blackhalls,E06000047
E05007965,Brandon,E06000047
E05007966,"Burnopfield and Dipton",E06000047
E05007967,"Chester-le-Street North and East",E06000047
E05007968,"Chester-le-Street South",E06000047
E05007969,"Chester-le-Street West Central",E06000047
E05007970,Chilton,E06000047
E05007971,"Consett North",E06000047
E05007972,Coundon,E06000047
E05007973,Coxhoe,E06000047
E05007974,"Craghead and South Moor",E06000047
E05007975,"Crook North and Tow Law",E06000047
E05007976,"Crook South",E06000047
E05007977,Dawdon,E06000047
E05007978,"Deerness Valley",E06000047
E05007979,"Delves Lane and Consett South",E06000047
E05007980,Deneside,E06000047
E05007981,"Durham South",E06000047
E05007982,Easington,E06000047
E05007983,Elvet,E06000047
E05007984,Esh,E06000047
E05007985,Evenwood,E06000047
E05007986,Ferryhill,E06000047
E05007987,"Framwellgate Moor",E06000047
E05007988,Gilesgate,E06000047
E05007989,Horden,E06000047
E05007990,Lanchester,E06000047
E05007991,"Leadgate and Medomsley",E06000047
E05007992,Lumley,E06000047
E05007993,Murton,E06000047
E05007994,"Neville's Cross",E06000047
E05007995,"Newton Hall",E06000047
E05007996,"Ouston and Urpeth",E06000047
E05007997,Pelton,E06000047
E05007998,"Peterlee East",E06000047
E05007999,"Peterlee West",E06000047
E05008000,Sacriston,E06000047
E05008001,Seaham,E06000047
E05008002,Sedgefield,E06000047
E05008003,Sherburn,E06000047
E05008004,"Shildon East",E06000047
E05008005,"Shildon West",E06000047
E05008006,Shotton,E06000047
E05008007,"Spennymoor and Middlestone",E06000047
E05008008,Stanley,E06000047
E05008009,Tanfield,E06000047
E05008010,Thornley,E06000047
E05008011,Trimdon,E06000047
E05008012,Tudhoe,E06000047
E05008013,Weardale,E06000047
E05008014,"West Auckland",E06000047
E05008015,Willington,E06000047
E05008016,Wingate,E06000047
E05008017,"Woodhouse Close",E06000047
E05001465,Brus,E06000001
E05001466,"Burn Valley",E06000001
E05001467,"Dyke House",E06000001
E05001468,Elwick,E06000001
E05001469,Fens,E06000001
E05001470,"Foggy Furze",E06000001
E05001471,Grange,E06000001
E05001472,Greatham,E06000001
E05001473,Hart,E06000001
E05001474,Owton,E06000001
E05001475,Park,E06000001
E05001476,"Rift House",E06000001
E05001477,Rossmere,E06000001
