E05001553,1,1,67
E05001554,1,1,50
E05001555,1,1,81
E05001556,1,1,27
E05001557,1,1,94
E05001558,1,1,77
E05001559,1,1,67
E05001560,1,1,117
E05001561,1,1,60
E05001562,1,1,58
E05001563,1,1,69
E05001564,1,1,98
E05001565,1,1,61
E05001566,1,1,91
E05001567,1,1,46
E05001568,1,1,59
E05001569,1,1,113
E05001570,1,1,52
E05001571,1,1,72
E05001572,1,1,64
E05001573,1,1,74
E05001574,1,1,86
E05001575,1,1,93
E05001576,1,1,59
E05007955,1,1,87
E05007956,1,1,105
E05007957,1,1,117
E05007958,1,1,107
E05007959,1,1,190
E05007960,1,1,206
E05007961,1,1,88
E05007962,1,1,116
E05007963,1,1,122
E05007964,1,1,113
E05007965,1,1,125
E05007966,1,1,155
E05007967,1,1,110
E05007968,1,1,166
E05007969,1,1,119
E05007970,1,1,114
E05007971,1,1,136
E05007972,1,1,94
E05007973,1,1,112
E05007974,1,1,104
E05007975,1,1,105
E05007976,1,1,111
E05007977,1,1,87
E05007978,1,1,141
E05007979,1,1,209
E05007980,1,1,78
E05007981,1,1,107
E05007982,1,1,105
E05007983,1,1,54
E05007984,1,1,116
E05007985,1,1,151
E05007986,1,1,90
E05007987,1,1,190
E05007988,1,1,89
E05007989,1,1,67
E05007990,1,1,147
E05007991,1,1,181
E05007992,1,1,119
E05007993,1,1,96
E05007994,1,1,163
E05007995,1,1,105
E05007996,1,1,138
E05007997,1,1,146
E05007998,1,1,69
E05007999,1,1,94
E05008000,1,1,93
E05008001,1,1,145
E05008002,1,1,155
E05008003,1,1,155
E05008004,1,1,126
E05008005,1,1,87
E05008006,1,1,125
E05008007,1,1,136
E05008008,1,1,124
E05008009,1,1,141
E05008010,1,1,77
E05008011,1,1,110
E05008012,1,1,119
E05008013,1,1,176
E05008014,1,1,140
E05008015,1,1,128
E05008016,1,1,173
E05008017,1,1,75
E05001465,1,1,48
E05001466,1,1,61
E05001467,1,1,40
E05001468,1,1,60
E05001469,1,1,69
E05001470,1,1,52
E05001471,1,1,75
E05001472,1,1,38
E05001473,1,1,146
E05001474,1,1,45
E05001475,1,1,120
E05001476,1,1,51
E05001477,1,1,70
E05001478,1,1,61
E05001479,1,1,119
E05001480,1,1,52
E05001481,1,1,104
E05001482,1,1,96
E05001483,1,1,58
E05001484,1,1,38
E05001485,1,1,42
E05001486,1,1,95
E05001487,1,1,59
E05001488,1,1,140
E05001489,1,1,56
E05001490,1,1,53
E05001491,1,1,71
E05001492,1,1,60
E05001493,1,1,135
E05001494,1,1,53
E05001495,1,1,81
