E09000001,"City of London",E12000007,E92000001
E09000002,"Barking and Dagenham",E12000007,E92000001
E09000003,Barnet,E12000007,E92000001
E09000004,Bexley,E12000007,E92000001
E09000005,Brent,E12000007,E92000001
E09000006,Bromley,E12000007,E92000001
E09000007,Camden,E12000007,E92000001
E09000008,Croydon,E12000007,E92000001
E09000009,Ealing,E12000007,E92000001
E09000010,Enfield,E12000007,E92000001
E09000011,Greenwich,E12000007,E92000001
E09000012,Hackney,E12000007,E92000001
E09000013,"Hammersmith and Fulham",E12000007,E92000001
E09000014,Haringey,E12000007,E92000001
E09000015,Harrow,E12000007,E92000001
E09000016,Havering,E12000007,E92000001
E09000017,Hillingdon,E12000007,E92000001
E09000018,Hounslow,E12000007,E92000001
E09000019,Islington,E12000007,E92000001
E09000020,"Kensington and Chelsea",E12000007,E92000001
E09000021,"Kingston upon Thames",E12000007,E92000001
E09000022,Lambeth,E12000007,E92000001
E09000023,Lewisham,E12000007,E92000001
E09000024,Merton,E12000007,E92000001
E09000025,Newham,E12000007,E92000001
E09000026,Redbridge,E12000007,E92000001
E09000027,"Richmond upon Thames",E12000007,E92000001
E09000028,Southwark,E12000007,E92000001
E09000029,Sutton,E12000007,E92000001
E09000030,"Tower Hamlets",E12000007,E92000001
E09000031,"Waltham Forest",E12000007,E92000001
E09000032,Wandsworth,E12000007,E92000001
E09000033,Westminster,E12000007,E92000001
E08000001,Bolton,E12000002,E92000001
E08000002,Bury,E12000002,E92000001
E08000003,Manchester,E12000002,E92000001
E08000004,Oldham,E12000002,E92000001
E08000005,Rochdale,E12000002,E92000001
E08000006,Salford,E12000002,E92000001
E08000007,Stockport,E12000002,E92000001
E08000008,Tameside,E12000002,E92000001
E08000009,Trafford,E12000002,E92000001
E08000010,Wigan,E12000002,E92000001
E08000011,Knowsley,E12000002,E92000001
E08000012,Liverpool,E12000002,E92000001
E08000013,"St. Helens",E12000002,E92000001
E08000014,Sefton,E12000002,E92000001
E08000015,Wirral,E12000002,E92000001
E08000016,Barnsley,E12000003,E92000001
E08000017,Doncaster,E12000003,E92000001
E08000018,Rotherham,E12000003,E92000001
E08000019,Sheffield,E12000003,E92000001
E08000020,Gateshead,E12000001,E92000001
E08000021,"Newcastle upon Tyne",E12000001,E92000001
E08000022,"North Tyneside",E12000001,E92000001
E08000023,"South Tyneside",E12000001,E92000001
E08000024,Sunderland,E12000001,E92000001
E08000025,Birmingham,E12000005,E92000001
E08000026,Coventry,E12000005,E92000001
E08000027,Dudley,E12000005,E92000001
E08000028,Sandwell,E12000005,E92000001
E08000029,Solihull,E12000005,E92000001
E08000030,Walsall,E12000005,E92000001
E08000031,Wolverhampton,E12000005,E92000001
E08000032,Bradford,E12000003,E92000001
E08000033,Calderdale,E12000003,E92000001
E08000034,Kirklees,E12000003,E92000001
E08000035,Leeds,E12000003,E92000001
E08000036,Wakefield,E12000003,E92000001
E06000001,Hartlepool,E12000001,E92000001
E06000002,Middlesbrough,E12000001,E92000001
E06000003,"Redcar and Cleveland",E12000001,E92000001
E06000004,Stockton-on-Tees,E12000001,E92000001
E06000005,Darlington,E12000001,E92000001
E06000006,Halton,E12000002,E92000001
E06000007,Warrington,E12000002,E92000001
E06000008,"Blackburn with Darwen",E12000002,E92000001
E06000009,Blackpool,E12000002,E92000001
E06000010,"Kingston upon Hull, City of",E12000003,E92000001
E06000011,"East Riding of Yorkshire",E12000003,E92000001
E06000012,"North East Lincolnshire",E12000003,E92000001
E06000013,"North Lincolnshire",E12000003,E92000001
E06000014,York,E12000003,E92000001
E06000015,Derby,E12000004,E92000001
E06000016,Leicester,E12000004,E92000001
E06000017,Rutland,E12000004,E92000001
E06000018,Nottingham,E12000004,E92000001
E06000019,"Herefordshire, County of",E12000005,E92000001
E06000020,"Telford and Wrekin",E12000005,E92000001
E06000022,"Bath and North East Somerset",E12000009,E92000001
E06000023,"Bristol, City of",E12000009,E92000001
E06000024,"North Somerset",E12000009,E92000001
E06000025,"South Gloucestershire",E12000009,E92000001
E06000026,Plymouth,E12000009,E92000001
E06000027,Torbay,E12000009,E92000001
